Language	Type	Position	Memory	MedianEmpirical	MedianLower	MedianUpper	Level
Czech-PDT	REAL_REAL	6	0.324091672897	0.324091672897	0.324091672897	0.324091672897	0.96875
Czech-PDT	REAL_REAL	7	0.370390474796	0.370390474796	0.370390474796	0.370390474796	0.96875
Czech-PDT	REAL_REAL	8	0.416689306498	0.416689306498	0.416689306498	0.416689306498	0.96875
Czech-PDT	REAL_REAL	9	0.462988108397	0.462988108397	0.462988108397	0.462988138199	0.96875
Czech-PDT	REAL_REAL	10	0.509286940098	0.509286940098	0.509286940098	0.509286940098	0.96875
Czech-PDT	REAL_REAL	11	0.555585741997	0.555585741997	0.555585741997	0.555585741997	0.96875
Czech-PDT	REAL_REAL	12	0.601884543896	0.601884543896	0.601884543896	0.601884543896	0.96875
Czech-PDT	REAL_REAL	13	0.648183345795	0.648183345795	0.648183345795	0.648183345795	0.96875
Czech-PDT	REAL_REAL	14	0.694482147694	0.694482147694	0.694482147694	0.694482147694	0.96875
Czech-PDT	REAL_REAL	15	0.740780949593	0.740780949593	0.740780949593	0.740780949593	0.96875
Czech-PDT	REAL_REAL	16	0.787079811096	0.787079811096	0.787079811096	0.787079811096	0.96875
Czech-PDT	REAL_REAL	17	0.833378612995	0.833378612995	0.833378612995	0.833378612995	0.96875
Czech-PDT	REAL_REAL	18	0.879677414894	0.879677414894	0.879677414894	0.879677414894	0.96875
Czech-PDT	REAL_REAL	19	0.925976216793	0.915769457817	0.911560177803	0.918365716934	0.96875
Czech-PDT	REAL_REAL	20	0.972275018692	0.938918828964	0.93470954895	0.941515088081	0.96875
Czech-PDT	REAL_REAL	21	1.0185738802	0.962068259716	0.957858979702	0.964664518833	0.96875
Czech-PDT	REAL_REAL	22	1.06487262249	0.985217630863	0.981008350849	0.98781388998	0.96875
Czech-PDT	REAL_REAL	23	1.11117148399	1.00836706161	1.0041577816	1.01096332073	0.96875
Czech-PDT	REAL_REAL	24	1.15747022629	1.03151643276	1.02730715275	1.03411269188	0.96875
Czech-PDT	REAL_REAL	25	1.20376908779	1.05466580391	1.0504566431	1.05726218224	0.96875
Czech-PDT	REAL_REAL	26	1.2500679493	1.07525885105	1.07231628895	1.08041155338	0.96875
Czech-PDT	REAL_REAL	27	1.29636669159	1.09069180489	1.08774924278	1.09615325928	0.96875
Czech-PDT	REAL_REAL	28	1.34266555309	1.10612475872	1.10318219662	1.11158621311	0.96875
Czech-PDT	REAL_REAL	29	1.38896429539	1.12133789062	1.11861515045	1.12701916695	0.96875
Czech-PDT	REAL_REAL	30	1.43526315689	1.1329126358	1.13023746014	1.1393443346	0.96875
Czech-PDT	REAL_REAL	31	1.48156189919	1.14448726177	1.14181208611	1.15091896057	0.96875
Czech-PDT	REAL_REAL	32	1.52786076069	1.15420782566	1.1511027813	1.16134929657	0.96875
Czech-PDT	REAL_REAL	33	1.57415962219	1.16332101822	1.15986537933	1.17060911655	0.96875
Czech-PDT	REAL_REAL	34	1.62045836449	1.17178869247	1.16751241684	1.17867779732	0.96875
Czech-PDT	REAL_REAL	35	1.66675722599	1.1791960001	1.17395472527	1.18583917618	0.96875
Czech-PDT	REAL_REAL	36	1.71305596828	1.18554067612	1.17951333523	1.19187986851	0.96875
Czech-PDT	REAL_REAL	37	1.75935482979	1.19098234177	1.18403482437	1.19678878784	0.96875
Czech-PDT	REAL_REAL	38	1.80565357208	1.19508123398	1.18701636791	1.20067059994	0.96875
Czech-PDT	RANDOM_BY_TYPE	0	0.0462988093495	0.0462988093495	0.0462988093495	0.0462988093495	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	1	0.0925976186991	0.0925976186991	0.0925976186991	0.0925976186991	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	2	0.138896435499	0.138896435499	0.138896435499	0.138896435499	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	3	0.185195237398	0.185195237398	0.185195237398	0.185195237398	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	4	0.231494054198	0.231494054198	0.231494054198	0.231494054198	0.9882812500000009
Czech-PDT	RANDOM_BY_TYPE	5	0.277792870998	0.277792870998	0.277792870998	0.277792870998	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	6	0.324091672897	0.324091672897	0.324091672897	0.324091672897	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	7	0.370390474796	0.370390474796	0.370390474796	0.370390474796	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	8	0.416689306498	0.416689306498	0.416689306498	0.4166893363	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	9	0.462988108397	0.462988108397	0.462988108397	0.462988108397	0.9882812500000009
Czech-PDT	RANDOM_BY_TYPE	10	0.509286940098	0.509286940098	0.509286940098	0.509286940098	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	11	0.555585741997	0.555585741997	0.555585741997	0.555585741997	0.9990234375000009
Czech-PDT	RANDOM_BY_TYPE	12	0.601884543896	0.601884543896	0.601884543896	0.601884543896	0.9990234375000009
