Language	Type	FileName	Position	Memory	Surprisal
Slovenian	REAL_REAL	1581276	33	0.59388500452	0.59388500452
Slovenian	REAL_REAL	1581276	34	0.611352205276	0.611352205276
Slovenian	REAL_REAL	1581276	35	0.628819406033	0.628819406033
Slovenian	REAL_REAL	1581276	36	0.646286606789	0.646286606789
Slovenian	REAL_REAL	1581276	37	0.663753807545	0.663753807545
Slovenian	REAL_REAL	1581276	38	0.681221008301	0.681221008301
Slovenian	REAL_REAL	4191351	0	0.0174672044814	0.0174672044814
Slovenian	REAL_REAL	4191351	1	0.0349344089627	0.0349344089627
Slovenian	REAL_REAL	4191351	2	0.0524016171694	0.0524016134441
Slovenian	REAL_REAL	4191351	3	0.0698688179255	0.0698688179255
Slovenian	REAL_REAL	4191351	4	0.0873360261321	0.0873360186815
Slovenian	REAL_REAL	4191351	5	0.104803234339	0.104803226888
Slovenian	REAL_REAL	4191351	6	0.122270435095	0.122270435095
Slovenian	REAL_REAL	4191351	7	0.139737635851	0.139737635851
Slovenian	REAL_REAL	4191351	8	0.157204851508	0.157204851508
Slovenian	REAL_REAL	4191351	9	0.174672052264	0.174672037363
Slovenian	REAL_REAL	4191351	10	0.19213925302	0.19213925302
Slovenian	REAL_REAL	4191351	11	0.209606468678	0.209606453776
Slovenian	REAL_REAL	4191351	12	0.227073669434	0.227073669434
Slovenian	REAL_REAL	4191351	13	0.24454087019	0.24454087019
Slovenian	REAL_REAL	4191351	14	0.262008070946	0.262008070946
Slovenian	REAL_REAL	4191351	15	0.279475271702	0.279475271702
Slovenian	REAL_REAL	4191351	16	0.29694250226	0.29694250226
Slovenian	REAL_REAL	4191351	17	0.314409703016	0.314409703016
Slovenian	REAL_REAL	4191351	18	0.331876903772	0.331876903772
Slovenian	REAL_REAL	4191351	19	0.349344104528	0.349344074726
Slovenian	REAL_REAL	4191351	20	0.366811305285	0.366811305285
Slovenian	REAL_REAL	4191351	21	0.384278506041	0.384278506041
Slovenian	REAL_REAL	4191351	22	0.401745706797	0.401745676994
Slovenian	REAL_REAL	4191351	23	0.419212937355	0.419212907553
Slovenian	REAL_REAL	4191351	24	0.436680138111	0.436680138111
Slovenian	REAL_REAL	4191351	25	0.454147338867	0.454147338867
Slovenian	REAL_REAL	4191351	26	0.471614539623	0.471614509821
Slovenian	REAL_REAL	4191351	27	0.489081740379	0.489081740379
