Language	Estimator	Model	Distance	Surprisal	Script	Part	It	SumIt	SumTIt
Czech	Heldout	ADN	3	-3.4270437688266626	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	4.784015655845408e-05	-2.7297491563917213	-2.8271019326092093
Czech	Heldout	ADN	4	-3.427091608983221	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	0.000705155242381128	-2.729701316235163	-2.8269105719829755
Czech	Heldout	ADN	5	-3.427796764225602	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	0.000769358491999661	-2.7289961609927817	-2.82338479577107
Czech	Heldout	ADN	0	-9.005620887866696	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	-1.9373956456584471	0	0
Czech	Heldout	ADN	1	-7.068225242208249	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	-0.07137900834626798	-1.9373956456584471	-1.9373956456584471
Czech	Heldout	ADN	2	-6.996846233861981	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.02422466056188899	-2.008774654004715	-2.080153662350983
Czech	Heldout	ADN	3	-7.02107089442387	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.04447498661084026	-1.9845499934428261	-2.007479680665316
Czech	Heldout	ADN	4	-7.06554588103471	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.05123757688037589	-1.9400750068319859	-1.829579734221955
Czech	Heldout	ADN	5	-7.116783457915086	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.05406104369670217	-1.88883742995161	-1.5733918498200756
Czech	Heldout	ADN	0	-10.419032305190985	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	-1.6598351119690236	0	0
Czech	Heldout	ADN	1	-8.759197193221961	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.06095931495222118	-1.6598351119690236	-1.6598351119690236
