Language	Type	Memory	EmpiricalMedianDiff	MedianDiff_Lower	MedianDiff_Upper	Level
Czech	REAL_REAL	1.29997861385	0.0557725429535	0.0176986455917	0.0695201158524	0.9692955613136292
Czech	REAL_REAL	1.35906851292	0.0656207799911	0.0194475650787	0.0793684720993	0.9692955613136292
Czech	REAL_REAL	1.41815841198	0.0754690170288	0.0252262353897	0.0892168283463	0.9692955613136292
Czech	REAL_REAL	1.47724843025	0.0763177871704	0.0252261161804	0.0908216238022	0.9692955613136292
Czech	REAL_REAL	1.53633832932	0.0777391195297	0.0278617143631	0.0941066741943	0.9692955613136292
Czech	REAL_REAL	1.59542822838	0.0826631784439	0.0327860116959	0.0990309715271	0.9692955613136292
Czech	REAL_REAL	1.65451812744	0.0856176614761	0.0346237421036	0.103463768959	0.9692955613136292
Czech	REAL_REAL	1.71360814571	0.088019490242	0.0375782251358	0.106418251991	0.9692955613136292
Czech	REAL_REAL	1.77269804478	0.0909848213196	0.040459394455	0.110422372818	0.9692955613136292
Czech	REAL_REAL	1.83178794384	0.0934679508209	0.0424292087555	0.11435842514	0.9692955613136292
Czech	REAL_REAL	1.89087796211	0.096195101738	0.0447949171066	0.118790268898	0.9692955613136292
Czech	REAL_REAL	1.94996786118	0.0980070829391	0.0466032028198	0.122405409813	0.9692955613136292
Czech	REAL_REAL	2.00905776024	0.0999060869217	0.0480619668961	0.124593257904	0.9692955613136292
Czech	REAL_REAL	2.0681476593	0.101646542549	0.0490099191666	0.126385092735	0.9692955613136292
Czech	REAL_REAL	2.12723755836	0.103234529495	0.0499527454376	0.127865791321	0.9692955613136292
Czech	REAL_REAL	2.18632769585	0.104783058167	0.0506303310394	0.129441857338	0.9692955613136292
Czech	REAL_REAL	2.24541759491	0.106153249741	0.0524451732635	0.133024096489	0.9692955613136292
Czech	REAL_REAL	2.30450749397	0.109804749489	0.0545753240585	0.137003064156	0.9692955613136292
Czech	GROUND	0.059089936316	0.0	0.0	0.0	0.9953318908810597
Czech	GROUND	0.118179872632	0.0	0.0	0.0	0.9953318908810597
Czech	GROUND	0.177269801497	0.0	0.0	0.0	0.9965782295912485
Czech	GROUND	0.236359745264	0.0	0.0	0.0	0.9953318908810597
