Language	Type	Memory	MI
French	GROUND	2.79915761948	1.8646741
French	GROUND	2.79915761948	1.8512454
French	GROUND	2.79915761948	1.8671468
French	GROUND	2.79915761948	1.8687212
French	GROUND	2.79915761948	1.870569
French	GROUND	2.79915761948	1.8656362
French	GROUND	2.79915761948	1.874067
French	GROUND	2.79915761948	1.8730986
German	REAL_REAL	1.70269274712	1.096575
German	REAL_REAL	1.70269274712	1.0663121
German	REAL_REAL	1.70269274712	1.0957574
German	REAL_REAL	1.70269274712	1.0980483
German	REAL_REAL	1.70269274712	1.0824745
German	RANDOM_BY_TYPE	1.70269274712	1.0382794
German	RANDOM_BY_TYPE	1.70269274712	1.0288745
German	RANDOM_BY_TYPE	1.70269274712	1.0362321
German	RANDOM_BY_TYPE	1.70269274712	0.9987005
German	RANDOM_BY_TYPE	1.70269274712	1.0112984
German	RANDOM_BY_TYPE	1.70269274712	1.0398734
German	RANDOM_BY_TYPE	1.70269274712	1.00326
German	RANDOM_BY_TYPE	1.70269274712	0.99001026
German	RANDOM_BY_TYPE	1.70269274712	1.0542288
German	RANDOM_BY_TYPE	1.70269274712	1.0801375
German	GROUND	1.70269274712	1.10497
German	GROUND	1.70269274712	1.0987961
German	GROUND	1.70269274712	1.0894104
German	GROUND	1.70269274712	1.0753981
German	GROUND	1.70269274712	1.0944648
Hindi	REAL_REAL	2.43816232681	1.8485557
Hindi	REAL_REAL	2.43816232681	1.8618344
Hindi	REAL_REAL	2.43816232681	1.850685
Hindi	REAL_REAL	2.43816232681	1.8684366
Hindi	REAL_REAL	2.43816232681	1.8620732
Hindi	REAL_REAL	2.43816232681	1.855813
Hindi	REAL_REAL	2.43816232681	1.8485086
Hindi	REAL_REAL	2.43816232681	1.8516287
Hindi	REAL_REAL	2.43816232681	1.8521422
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4238335
Hindi	RANDOM_BY_TYPE	2.43816232681	1.202041
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3954985
Hindi	RANDOM_BY_TYPE	2.43816232681	1.368632
Hindi	RANDOM_BY_TYPE	2.43816232681	1.61124
Hindi	RANDOM_BY_TYPE	2.43816232681	1.1762813
Hindi	RANDOM_BY_TYPE	2.43816232681	1.3681076
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4046026
Hindi	RANDOM_BY_TYPE	2.43816232681	1.4130944
