Script	Type	Run	InterpPoint	Memory	MI
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	13	1.61843025684	1.61843025684
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	14	1.7340323925	1.73403227329
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	15	1.84963452816	1.84963452816
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	16	1.96523666382	1.96523678303
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	17	2.08083891869	2.08083891869
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	18	2.19644093513	2.19644093513
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	19	2.31204319	2.31204319
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	20	2.42764544487	2.42764544487
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	21	2.54324746132	2.54324746132
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	22	2.65884971619	2.65884971619
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	23	2.77445173264	2.77445173264
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	24	2.8900539875	2.8900539875
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	25	3.00565624237	3.00565624237
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	26	3.12125825882	3.12125825882
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	27	3.23686051369	3.19194030762
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	28	3.35246253014	3.24974107742
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	29	3.468064785	3.30754232407
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	30	3.58366703987	3.36534357071
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	31	3.69926905632	3.42314434052
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	32	3.81487131119	3.48094558716
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	33	3.93047332764	3.52173948288
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	34	4.04607582092	3.56027364731
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	35	4.16167783737	3.59759306908
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	36	4.27727985382	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	37	4.39288187027	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2789867	38	4.50848436356	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	0	0.11560215801	0.11560215801
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	1	0.23120431602	0.23120431602
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	2	0.346806466579	0.346806466579
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	3	0.46240863204	0.46240863204
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	4	0.578010797501	0.578010797501
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	5	0.693612933159	0.693612933159
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	6	0.809215128422	0.809215128422
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	7	0.92481726408	0.92481726408
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	8	1.04041945934	1.04041945934
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	9	1.156021595	1.156021595
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	10	1.27162373066	1.27162373066
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	11	1.38722586632	1.38722586632
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	12	1.50282812119	1.50282812119
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	13	1.61843025684	1.61843025684
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	14	1.7340323925	1.73403227329
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	15	1.84963452816	1.84963452816
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	16	1.96523666382	1.96523678303
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	17	2.08083891869	2.08083891869
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	18	2.19644093513	2.19644093513
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	19	2.31204319	2.31204319
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	20	2.42764544487	2.42764544487
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	21	2.54324746132	2.54324746132
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	22	2.65884971619	2.65884971619
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	23	2.77445173264	2.77445173264
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	24	2.8900539875	2.8900539875
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	25	3.00565624237	3.00565624237
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	26	3.12125825882	3.12125825882
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	27	3.23686051369	3.19194030762
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	28	3.35246253014	3.24974107742
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	29	3.468064785	3.30754232407
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	30	3.58366703987	3.36534357071
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	31	3.69926905632	3.42314434052
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	32	3.81487131119	3.48094558716
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	33	3.93047332764	3.52173948288
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	34	4.04607582092	3.56027364731
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	35	4.16167783737	3.59759306908
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	36	4.27727985382	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	37	4.39288187027	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035076	38	4.50848436356	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035517	0	0.11560215801	0.11560215801
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035517	1	0.23120431602	0.23120431602
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035517	2	0.346806466579	0.346806466579
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035517	3	0.46240863204	0.46240863204
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035517	4	0.578010797501	0.578010797501
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	3035517	5	0.693612933159	0.693612933159
