Script	Run	Model	Distance	Surprisal	MI	Memory
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	9	2.563875171361205	0.0	3.307689137166863
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4392318	RANDOM	10	2.563875171361205	0.0	3.307689137166863
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	0	5.613090635743616	2.8355048412087998	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	1	2.777585794534816	0.1654830095562123	2.8355048412087998
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	2	2.6121027849786036	0.04560929806588243	3.1664708603212244
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	3	2.566493486912721	0.0023625519857026767	3.3032987545188717
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	4	2.5641309349270185	0.0001250290904790674	3.3127489624616824
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	5	2.5640059058365394	0.0	3.3133741079140777
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	6	2.5640059058365394	0.0	3.3133741079140777
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	7	2.5640059058365394	0.0	3.3133741079140777
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	8	2.5640059058365394	0.0	3.3133741079140777
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	9	2.5640059058365394	0.0	3.3133741079140777
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	4571460	RANDOM	10	2.5640059058365394	0.0	3.3133741079140777
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	0	5.613090635743616	2.836678016795966	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	1	2.7764126189476497	0.16864519402489941	2.836678016795966
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	2	2.6077674249227503	0.04145600754802192	3.173968404845765
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	3	2.5663114173747283	0.002130415248883022	3.2983364274898306
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	4	2.5641810021258453	0.00020343060302119298	3.3068580884853627
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	5	2.563977571522824	0.0	3.3078752415004686
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	6	2.563977571522824	0.0	3.3078752415004686
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	7	2.563977571522824	0.0	3.3078752415004686
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	8	2.563977571522824	0.0	3.3078752415004686
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	9	2.563977571522824	0.0	3.3078752415004686
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	7821095	RANDOM	10	2.563977571522824	0.0	3.3078752415004686
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	0	3.782131479060978	1.8641677378085888	0
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	1	1.9179637412523893	0.3351482154387069	1.8641677378085888
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	2	1.5828155258136825	0.2890656850446869	2.5344641686860028
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	3	1.2937498407689956	0.20800140213506557	3.4016612238200636
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	4	1.08574843863393	0.0970098246541028	4.233666832360326
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	5	0.9887386139798272	0.03978708400309061	4.71871595563084
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	4383766	RANDOM	6	0.9489515299767366	0.018007852566794047	4.957438459649383
