Script	Run	Model	Accuracy_Pairs	Accuracy_Full	Accuracy_Pairs_Types	Accuracy_Full_Types
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9633072	RANDOM	0.03506725760049763	0.0237994307515291	0.05016898235073226	0.03294691885295912
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9650177	RANDOM	0.5337843091516989	0.5512626415551384	0.48216297408937286	0.4677242220866382
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9676561	RANDOM	0.06084285825363502	0.048204444982740874	0.0827638002253098	0.06516168395363026
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9699126	RANDOM	0.5207604385351061	0.5326712287288803	0.4632369508073601	0.44209884075655886
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	990198	RANDOM	0.5381385584324703	0.554108883909647	0.4893728877206158	0.47284929835265405
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	9998819	RANDOM	0.4365912448487676	0.16223581420698843	0.47705595193390915	0.21354484441732763
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1056244	8443776	0.5457346803448141	0.31223423642327786	0.6150576806314512	0.4067293419099456
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1195607	RANDOM	0.9752701174084332	0.9694447819220022	0.9601548269581056	0.9486640277090549
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1335825	8951794	0.9965674610913914	0.9948365933665412	0.9937006678809958	0.9901039089559623
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1353011	8024029	0.9964894488434685	0.9947758474061474	0.9935488767455981	0.989980207817912
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	139502	RANDOM	0.5474509497991185	0.308893208601628	0.6177140255009107	0.4012864918357249
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1461993	RANDOM	0.9900534383898272	0.9854209695055279	0.982695810564663	0.9736516575952499
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1496431	9354367	0.9875570464562936	0.9884582675252096	0.9794323011536127	0.9797130133597229
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1501664	RANDOM	0.48812263525373484	0.45893573077390354	0.43093503339404976	0.3532904502721425
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1519958	2340558	0.9965674610913914	0.9948973393269348	0.9937006678809958	0.9902276100940128
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1616403	4138780	0.9966064672153528	0.9948973393269348	0.9937765634486946	0.9902276100940128
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1664076	9586262	0.5494012559971916	0.31186976066091604	0.6206739526411658	0.40598713508164275
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1788041	RANDOM	0.17915512735499473	0.02095735633580367	0.1925470552519733	0.030430479960415636
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1797063	4336949	0.9875570464562936	0.9885190134856032	0.9794323011536127	0.9798367144977734
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1812882	RANDOM	0.1934313687248898	0.0290973150285506	0.21030661809350334	0.040697674418604654
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	184234	RANDOM	0.7738814993954051	0.6801725185275179	0.7427140255009107	0.6305047006432459
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1873904	5639394	0.5494792682451145	0.31186976066091604	0.6208257437765634	0.40598713508164275
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1878375	RANDOM	0.19522565042711706	0.022293767464463612	0.2151639344262295	0.031048985650667986
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1977853	4898486	0.9875960525802551	0.9885190134856032	0.9795081967213115	0.9798367144977734
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	1978348	RANDOM	0.9871279790927175	0.9809865143967926	0.980722525804493	0.9705591291439881
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2006791	RANDOM	0.49572882942621993	0.47436520471388655	0.4391317547055252	0.3743196437407224
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2021959	1173856	0.9878690954479853	0.9887619973271777	0.9800394656952034	0.9803315190499753
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2048657	RANDOM	0.5328236533135702	0.2927347831369214	0.5947176684881603	0.3748144482929243
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2056034	RANDOM	0.7798494363615087	0.6828453407848378	0.7520491803278688	0.6348342404750124
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2057345	RANDOM	0.8161641377696298	0.7222087231199126	0.8017607771706132	0.6918604651162791
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2067345	RANDOM	0.4916721925342279	0.470963430931843	0.43268063145112323	0.3685056902523503
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2084969	1401297	0.5457736864687756	0.3123557283440651	0.61513357619915	0.4069767441860465
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2145533	RANDOM	0.5035300542185123	0.26667476612805247	0.5560868245294475	0.3404255319148936
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	22129	9760581	0.9966064672153528	0.9948973393269348	0.9937765634486946	0.9902276100940128
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2291831	RANDOM	0.5307173226196513	0.27991738549386463	0.5935033394049788	0.3571251855517071
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2299378	RANDOM	0.03682178101962008	0.025148827602964403	0.05289921068609593	0.034512617516081145
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2309151	RANDOM	0.8144478683153255	0.7233628963673916	0.7992562234365513	0.6934685799109351
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2319888	RANDOM	0.19639583414596093	0.03280281861256226	0.21455676988463873	0.0458931222167244
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2351790	RANDOM	0.5422241291882826	0.30646337018588266	0.609669095324833	0.39757545769421077
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2425894	6027760	0.5457736864687756	0.3123557283440651	0.61513357619915	0.4069767441860465
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2498104	4209572	0.9875570464562936	0.9884582675252096	0.9794323011536127	0.9797130133597229
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2521248	6941398	0.9966844794632758	0.9950188312477221	0.9939283545840923	0.9904750123701138
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2552351	RANDOM	0.8062955884073799	0.7061110436155995	0.7873406193078324	0.6669965363681346
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2573807	RANDOM	0.5007606194172485	0.2668570040092334	0.5547207043108683	0.34104403760514596
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2637974	RANDOM	0.19826812809611108	0.03140566152350869	0.2182756527018822	0.0437902028698664
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2757691	RANDOM	0.5007606194172485	0.4787996598226218	0.44702489374620524	0.3798861949529936
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	2957481	RANDOM	0.4922572843936498	0.47260357186247115	0.4345021250758956	0.3712271152894607
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	3079246	RANDOM	0.826227717751687	0.7350868667233629	0.8164845173041895	0.7105393369619001
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	3155602	RANDOM	0.01622654756796817	0.01700886891021747	0.023831208257437765	0.023874319643740722
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	3172747	RANDOM	0.218356281936264	0.04987243348317337	0.24423193685488767	0.06890153389411183
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	3335929	RANDOM	0.5424191598080899	0.2946786538695177	0.6101244687310261	0.3784017812963879
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	3393994	4997156	0.5456956742208526	0.31223423642327786	0.6149817850637522	0.4067293419099456
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	345080	RANDOM	0.02320864375706986	0.023569432632729922	0.03506375227686703	0.0338941118258288
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	346265	RANDOM	0.21203728985450715	0.03912039849350018	0.2352762598664238	0.05319148936170213
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	3598814	2291324	0.5494012559971916	0.31186976066091604	0.6206739526411658	0.40598713508164275
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	3632082	RANDOM	0.775987830089324	0.6797472968047625	0.7471918639951427	0.6316180108857001
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	3773627	RANDOM	0.5465928150719663	0.3019074231563601	0.6155130540376442	0.3885452746165265
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	394165	RANDOM	0.9699262784257129	0.9540153079820192	0.9552975106253795	0.9288718456209797
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	3996211	7820557	0.5494012559971916	0.31186976066091604	0.6206739526411658	0.40598713508164275
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	4057876	RANDOM	0.9832663728205329	0.9812294982383671	0.9717668488160291	0.9663532904502722
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	4205765	RANDOM	0.7700979053711433	0.6722147977159519	0.7383879781420765	0.6203612073231074
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	4265327	2134646	0.5494012559971916	0.31186976066091604	0.6206739526411658	0.40598713508164275
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	469374	RANDOM	0.4942465967156844	0.26357672214797717	0.5450060716454159	0.33671449777337953
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	4706660	RANDOM	0.9801848890275773	0.9699307496051512	0.968882817243473	0.9508906481939634
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	4726145	RANDOM	0.5027889378632445	0.258960029158061	0.5556314511232544	0.32867392380009897
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	4883530	RANDOM	0.9742169520614736	0.9621552666747661	0.9629629629629629	0.944210786739238
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	5116694	RANDOM	0.05523267152943012	0.041853966711213705	0.07665452337583485	0.0582632360217714
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	5237536	596534	0.5456956742208526	0.31223423642327786	0.6149817850637522	0.4067293419099456
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	5250680	RANDOM	0.5042321644498187	0.26576357672214795	0.557301153612629	0.33857001484413657
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	5279727	RANDOM	0.5145687872996061	0.5026728222573199	0.4662264723740134	0.4148936170212766
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	5548264	RANDOM	0.01482232710535554	0.015611711821163892	0.023375834851244687	0.023626917367639784
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	571331	RANDOM	0.04704138549752311	0.028489855424614262	0.06390406800242866	0.03797624938149431
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	5736517	RANDOM	0.004368685883683738	0.00012149192078726765	0.00713418336369156	0.00024740227610094015
forWords_Sesotho_EvaluateWeights_Prefixes_Normalized_ByType.py	5850079	RANDOM	0.20251979560791045	0.03626533835499939	0.224802671523983	0.05108857001484414
