Language	Estimator	Model	Distance	Surprisal	Script
Czech	Plugin	DAN	5	3.406602407900648	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	DAN	6	3.406602407900648	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NAD	0	7.9421881687903175	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NAD	1	3.654021659463949	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NAD	2	3.40855279344826	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NAD	3	3.406600093691416	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NAD	4	3.4065966842123494	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NAD	5	3.4065966842123494	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NAD	6	3.4065966842123494	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NDA	0	7.9421881687903175	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NDA	1	3.6287629527980374	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NDA	2	3.4085978383108113	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NDA	3	3.4066058588509534	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NDA	4	3.4066024493718876	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NDA	5	3.4066024493718876	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	NDA	6	3.4066024493718876	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	AND	0	7.9421881687903175	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	AND	1	3.6577693418596327	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	AND	2	3.408605983144589	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	AND	3	3.4066014935406623	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	AND	4	3.406598084061596	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	AND	5	3.406598084061596	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	AND	6	3.406598084061596	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin.py
Czech	Plugin	ADN	0	8.015629144058014	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	ADN	1	3.0910951752640794	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	ADN	2	2.579511319124621	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	ADN	3	2.5740432183442223	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	ADN	4	2.574033886865299	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	ADN	5	2.574033886865299	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	ADN	6	2.574033886865299	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DNA	0	8.015629144058014	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DNA	1	3.0206076022706743	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DNA	2	2.5794751175309214	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DNA	3	2.5740532275431676	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DNA	4	2.5740438960642447	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DNA	5	2.5740438960642447	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DNA	6	2.5740438960642447	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DAN	0	8.015629144058014	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DAN	1	3.028629896889441	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DAN	2	2.579369974170876	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DAN	3	2.5740399102768934	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DAN	4	2.5740305787979705	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DAN	5	2.5740305787979705	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
Czech	Plugin	DAN	6	2.5740305787979705	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs_Plugin_2.py
